date,event,fighter1,fighter1 - open,fighter1 - 48h,fighter1 - close,fighter2,fighter2 - open,fighter2 - 48h,fighter2 - close,winner
2024-05-11,UFC,Terrance McKinney,2024-04-21 15:57:00 - price: +164,2024-05-09 18:11:00 - price: +137,2024-05-11 18:23:00 - price: +129,Esteban Ribovics,2024-04-21 15:57:00 - price: -198,2024-05-09 18:11:00 - price: -166,2024-05-11 18:23:00 - price: -155,Esteban Ribovics
2024-05-11,UFC,Alex Caceres,2024-04-21 15:51:00 - price: +150,2024-05-09 19:41:00 - price: +177,2024-05-11 19:45:00 - price: +203,Sean Woodson,2024-04-21 15:51:00 - price: -180,2024-05-09 19:41:00 - price: -218,2024-05-11 19:45:00 - price: -254,Sean Woodson
2024-05-11,UFC,Tecia Pennington,2024-04-23 00:29:00 - price: +122,2024-05-09 17:45:00 - price: +119,2024-05-11 17:47:00 - price: +127,Tabatha Ricci,2024-04-23 00:29:00 - price: -156,2024-05-09 17:45:00 - price: -142,2024-05-11 17:47:00 - price: -151,Tabatha Ricci
2024-05-11,UFC,Jake Hadley,2024-04-21 15:51:00 - price: -155,2024-05-09 16:17:00 - price: -145,2024-05-11 16:53:00 - price: -110,Charles Johnson,2024-04-21 15:51:00 - price: +130,2024-05-09 16:17:00 - price: +122,2024-05-11 16:53:00 - price: -111,Charles Johnson
2024-05-05,UFC,Vitor Petrino,2024-03-29 16:23:00 - price: -325,2024-05-02 23:15:00 - price: -578,2024-05-04 23:13:00 - price: -478,Anthony Smith,2024-03-29 16:23:00 - price: +260,2024-05-02 23:15:00 - price: +416,2024-05-04 23:13:00 - price: +363,Anthony Smith
2024-05-05,UFC,Joanderson Brito,2024-03-29 16:34:00 - price: +100,2024-05-02 21:35:00 - price: -169,2024-05-04 21:43:00 - price: -210,Jack Shore,2024-03-29 16:34:00 - price: -120,2024-05-02 21:35:00 - price: +138,2024-05-04 21:43:00 - price: +172,Joanderson Brito
2024-05-05,UFC,Steve Erceg,2024-03-15 23:06:00 - price: +205,2024-05-02 23:03:00 - price: +153,2024-05-05 00:17:00 - price: +153,Alexandre Pantoja,2024-03-15 23:06:00 - price: -250,2024-05-02 23:25:00 - price: -188,2024-05-05 00:17:00 - price: -186,Alexandre Pantoja
2024-05-05,UFC,Elves Brener,2024-03-29 16:24:00 - price: +142,2024-05-02 20:41:00 - price: +206,2024-05-04 20:43:00 - price: +214,Myktybek Orolbai,2024-03-29 16:24:00 - price: -170,2024-05-02 20:41:00 - price: -260,2024-05-04 20:43:00 - price: -267,Myktybek Orolbai
2024-05-05,UFC,Caio Borralho,2024-03-29 16:28:00 - price: -185,2024-05-02 22:15:00 - price: -643,2024-05-04 22:19:00 - price: -575,Paul Craig,2024-03-29 16:28:00 - price: +154,2024-05-02 22:15:00 - price: +456,2024-05-04 22:19:00 - price: +427,Caio Borralho
2024-05-04,UFC,Kevin Borjas,2024-03-29 16:23:00 - price: +110,2024-05-02 18:05:00 - price: +114,2024-05-04 18:03:00 - price: +112,Alessandro Costa,2024-03-29 16:23:00 - price: -130,2024-05-02 18:05:00 - price: -137,2024-05-04 18:03:00 - price: -135,Alessandro Costa
